Country_Target_Encoded,Year,temperature
0.3907741935483871,2021,1.19
0.3907741935483871,2022,0.846
0.38496774193548383,1961,0.188
0.38496774193548383,1962,-0.139
0.38496774193548383,1963,0.299
0.38496774193548383,1964,-0.068
0.38496774193548383,1965,-0.151
0.38496774193548383,1966,0.151
0.38496774193548383,1967,-0.107
0.38496774193548383,1968,-0.171
0.38496774193548383,1969,0.508
0.38496774193548383,1970,0.339
0.38496774193548383,1971,-0.343
0.38496774193548383,1972,-0.155
0.38496774193548383,1973,0.078
0.38496774193548383,1974,-0.376
0.38496774193548383,1975,-0.387
0.38496774193548383,1976,-0.266
0.38496774193548383,1977,-0.065
0.38496774193548383,1978,0.099
0.38496774193548383,1979,0.249
0.38496774193548383,1980,0.248
0.38496774193548383,1981,0.325
0.38496774193548383,1982,0.082
0.38496774193548383,1983,0.292
0.38496774193548383,1984,-0.101
0.38496774193548383,1985,-0.534
0.38496774193548383,1986,-0.336
0.38496774193548383,1987,0.422
0.38496774193548383,1988,0.303
0.38496774193548383,1989,-0.263
0.38496774193548383,1990,0.167
0.38496774193548383,1991,0.319
0.38496774193548383,1992,0.261
0.38496774193548383,1993,0.49
0.38496774193548383,1994,0.354
0.38496774193548383,1995,0.715
0.38496774193548383,1996,0.52
0.38496774193548383,1997,0.681
0.38496774193548383,1998,1.208
0.38496774193548383,1999,0.687
0.38496774193548383,2000,0.512
0.38496774193548383,2001,0.715
0.38496774193548383,2002,0.603
0.38496774193548383,2003,0.818
0.38496774193548383,2004,0.379
0.38496774193548383,2005,1.145
0.38496774193548383,2006,0.731
0.38496774193548383,2007,0.627
0.38496774193548383,2008,0.463
0.38496774193548383,2009,0.573
0.38496774193548383,2010,1.247
0.38496774193548383,2011,0.577
0.38496774193548383,2012,0.626
0.38496774193548383,2013,0.792
0.38496774193548383,2014,0.692
0.38496774193548383,2015,0.824
0.38496774193548383,2016,0.925
0.38496774193548383,2017,1.177
0.38496774193548383,2018,0.667
0.38496774193548383,2019,1.191
0.38496774193548383,2020,1.395
0.38496774193548383,2021,0.952
